City,State,Venue,Address,Saturday,Time,Leader,EventPageURL,GoogleMapsURL,Paused,Latitude,Longitude,Status,Last Updated,Notes,EventID,FirstAdded,PhotoURL
Garland,TX,Texas Roadhouse,"5012 N President George Bush Hwy, Garland, TX 75040",Second,8:30 AM - 10:30 AM,Blaine,https://www.tangocharities.org/feed-the-city-garland,,No,32.9632202,-96.6367052,Live,"May 24, 2026 11:26 PM",,32d7f0bf-7f8b-482b-a55f-59aff6565e72,"May 2, 2026",
Houston,TX,Barcelona Wine Bar,"1731 Westheimer Rd, Houston, TX 77098",Second,8:30 AM - 10:30 AM,LaToya,https://www.tangocharities.org/feed-the-city-houston,,No,29.7427,-95.4034,Live,"May 24, 2026 5:00 PM",,b91f0015-bdcb-48e0-bd6a-44051b91b566,"May 2, 2026",
Lewisville/Coppell,TX,BoomerJack's,"2437 S Stemmons Fwy, Lewisville, TX 75067",Second,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-lewisville,,No,33.0036,-96.9678,Live,"May 24, 2026 5:00 PM",,68cc725e-5a08-489f-8672-d1b07c7c4933,"May 2, 2026",
Rockwall,TX,Cotton Patch Cafe,"909 E Interstate 30 #101, Rockwall, TX 75087",Second,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-rockwall,,No,32.9014727,-96.4559199,Live,"May 24, 2026 11:27 PM",,b57f95f9-e4bb-4a4d-9d83-144e7963a050,"May 2, 2026",
Huntsville,AL,Mellow Mushroom,"470 Providence Main St NW, Huntsville, AL 35806",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-huntsville,,No,34.7544,-86.6918,Live,"May 24, 2026 5:00 PM",,c7a143c9-d546-4127-b42f-f50258cd41ad,"May 2, 2026",
Alpharetta,GA,Lazy Dog,"10800 Haynes Bridge Rd, Alpharetta, GA 30022",Third,8:00 AM - 10:00 AM,Rita,https://www.tangocharities.org/feed-the-city-alpharetta,,No,34.0491,-84.2869,Live,"May 24, 2026 5:00 PM",,63a7d43a-43d8-4ef8-a474-10d7e918cc51,"May 2, 2026",
Elizabethtown,KY,BoomBozz,"135 The Lp, Elizabethtown, KY 42701",Third,8:30 AM - 10:30 AM,Marcus,https://www.tangocharities.org/feed-the-city-elizabethtown,,No,37.7158628,-85.8303985,Live,"May 24, 2026 11:29 PM",,70c2109d-967d-4f3a-92c1-16c590e7fd60,"May 2, 2026",
Westlake,OH,Salty Mary's,"25600 Center Ridge Rd, Westlake, OH 44145",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-westlake-ohio,,No,41.4560171,-81.9032236,Live,"May 24, 2026 5:01 PM",,47791164-062c-47a2-979a-55c388d632bb,"May 23, 2026",
Bethel Park,PA,Emiliano's,"4607 Library Rd, Bethel Park, PA 15102",Third,8:30 AM - 10:30 AM,David,https://www.tangocharities.org/bethel-park-feed-the-city,,No,40.3499,-80.0227,Live,"May 24, 2026 5:01 PM",,d98f26e8-a469-449b-80c1-8655ae5a5fa5,"May 2, 2026",
Hendersonville,TN,Safari's Brick Oven & Grille,"230 E Main St, Hendersonville, TN 37075",Third,8:30 AM - 10:30 AM,Nicole,https://www.tangocharities.org/hendersonville-feed-the-city,,No,36.3095,-86.6036,Live,"May 24, 2026 5:01 PM",,bf92e799-022b-4eef-90f2-0d87f506edaa,"May 2, 2026",
Denton,TX,Union Bear,"215 S Bell Ave, Denton, TX 76201",Third,8:30 AM - 10:30 AM,Deven,https://www.tangocharities.org/feed-the-city-denton,"https://www.google.com/maps/place/Union+Bear+Brewing+Company+-+Denton/@33.2128716,-97.1280301,17z/data=!3m1!4b1!4m6!3m5!1s0x864dcb0003425d5b:0x31c0573db557a397!8m2!3d33.2128716!4d-97.1280301!16s%2Fg%2F11vq3rvd6f?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D",No,33.2128716,-97.1280301,Live,"May 29, 2026 2:37 PM",,a509ea44-b675-4331-ae6c-18f2fb1f40be,"May 3, 2026",
Fort Worth (Lake Worth),TX,BoomerJack's,"6800 NW Loop 820, Fort Worth, TX 76135",Third,8:15 AM - 10:15 AM,Jerry,https://www.tangocharities.org/feed-the-city-fort-worth,,No,32.801,-97.4351,Live,"May 24, 2026 5:01 PM",,c7f71744-2ca6-43c7-8e1a-1756bf0f204a,"May 2, 2026",
Frisco,TX,Sidecar Social,"6770 Winning Dr, Frisco, TX 75034",Third,8:00 AM - 10:00 AM,Tisa,https://www.tangocharities.org/feed-the-city-frisco,,No,33.1077,-96.827,Live,"May 24, 2026 5:01 PM",,ec88cfdd-9d10-4982-b156-7084a2c201db,"May 2, 2026",
Grand Prairie,TX,RIOS Brewing Co.,"1015 IKEA Pl, Grand Prairie, TX 75052",Third,8:30 AM - 10:30 AM,Amber,https://www.tangocharities.org/feed-the-city-grand-prairie,,No,32.6879,-97.0225,Live,"May 24, 2026 5:01 PM",,71e78248-6d76-42df-b563-1d10ef736046,"May 2, 2026",
Greenville,TX,Chili's,"7099 I-30, Greenville, TX 75402",Third,8:30 AM - 10:30 AM,Stephanie,https://www.tangocharities.org/feed-the-city-greenville-tx,,No,33.098,-96.1051,Live,"May 24, 2026 5:01 PM",,1e204fdd-834c-415d-be65-7d33bdd4860e,"May 2, 2026",
Lubbock,TX,Cotton Patch Cafe,"6810 Slide Rd, Lubbock, TX 79424",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-lubbock,,No,33.5320673,-101.9230333,Live,"May 24, 2026 5:01 PM",,b841047a-656f-4228-a437-75c726b3fb91,"May 2, 2026",
Mansfield,TX,BoomerJack's,"660 N US Hwy 287, Mansfield, TX 76063",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-mansfield,,No,32.5729,-97.1191,Live,"May 24, 2026 5:01 PM",,e8ecd036-50f0-4511-a7ba-ee244c18d0df,"May 2, 2026",
McKinney,TX,Union Bear Brewing,"308 W Virginia St, McKinney, TX 75069",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-mckinney,,No,33.1981,-96.6179,Live,"May 24, 2026 5:01 PM",,7dd25973-2ea1-43b8-9706-ea03d6ac81ad,"May 2, 2026",
Richardson,TX,Wildwood,"1417 E Renner Rd, Richardson, TX 75082",Third,8:00 AM - 10:00 AM,Blaine,https://www.tangocharities.org/feed-the-city-richardson,,No,32.9987,-96.6974,Live,"May 24, 2026 5:01 PM",,14eac445-b94f-4024-b5ef-425573bb6911,"May 2, 2026",
Round Rock,TX,Anchor Bar,"2702 Parker Dr, Round Rock, TX 78681",Third,8:30 AM - 10:30 AM,Kim,https://www.tangocharities.org/feed-the-city-round-rock,,No,30.4808,-97.6818,Live,"May 24, 2026 5:01 PM",,1ceed052-9733-44e4-96dc-59880f5d27bf,"May 2, 2026",
Southlake,TX,Taverna Rossa,"1151 E Southlake Blvd, Southlake, TX 76092",Third,8:00 AM - 10:00 AM,,https://www.tangocharities.org/feed-the-city-southlake,,No,32.9403,-97.1346,Live,"May 24, 2026 5:01 PM",,71a61a9e-dc0b-4459-b902-54c8b8dcad86,"May 2, 2026",
Waco,TX,Cotton Patch Cafe,"5501 Bosque Blvd, Waco, TX 76710",Third,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-waco,,No,31.5327092,-97.1944812,Live,"May 24, 2026 5:01 PM",,228207d1-e7ed-4382-9ade-e94924b95db4,"May 24, 2026",
Waxahachie,TX,Chili's,"998 US-287, Waxahachie, TX 75165",Third,8:30 AM - 10:30 AM,Susan,https://www.tangocharities.org/feed-the-city-waxahachie,,No,32.4209,-96.8395,Live,"May 24, 2026 5:01 PM",,ed7d0c45-b02e-4254-a7d6-f2d436847b76,"May 2, 2026",
Denver,CO,Windfall Brewing,"14694 Orchard Pkwy, Westminster, CO 80023",Fourth,8:00 AM - 10:00 AM,,https://www.tangocharities.org/feed-the-city-denver,,No,39.9626,-104.9929,Live,"May 24, 2026 5:01 PM",,dead9464-f8d4-42b4-97c3-df36dc383fe6,"May 2, 2026",
Allen,TX,BoomerJack's,"131 E Stacy Rd, Fairview, TX 75069",Fourth,8:00 AM - 10:00 AM,,https://www.tangocharities.org/feed-the-city-allen,,No,33.1308,-96.6541,Live,"May 24, 2026 5:02 PM",,c2e6c803-7dae-4687-9fe0-12637bf4ff98,"May 2, 2026",
Austin (South),TX,Bouldin Acres,"10400 Menchaca Rd, Austin, TX 78748",Fourth,10:00 AM - 11:30 AM,Anthony,https://www.tangocharities.org/feed-the-city-austin,,No,30.1672,-97.8275,Live,"May 24, 2026 5:02 PM",,ad7ecc0b-0039-487b-8156-8faa1a6da7fe,"May 2, 2026",
Burleson,TX,Cotton Patch Cafe,"1103 N Burleson Blvd, Burleson, TX 76028",Fourth,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-burleson,,No,32.5667,-97.3205,Live,"May 24, 2026 5:02 PM",,c0a2b238-17c7-45a7-b7ba-debbfe3266e5,"May 2, 2026",
Carrollton,TX,Three Nations Brewing,"1033 Vandergriff Dr, Carrollton, TX 75006",Fourth,9:45 AM - 11:45 AM,Amanda,https://www.tangocharities.org/feed-the-city-carrollton,,No,32.9511,-96.9063,Live,"May 24, 2026 5:02 PM",,90df1e5f-32fc-43a9-be1c-c4e6b04d4fd1,"May 2, 2026",
Cedar Hill,TX,Cotton Patch Cafe,"124 W Belt Line Rd # 3, Cedar Hill, TX 75104",Fourth,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-cedar-hill,,No,32.5883354,-96.9452101,Live,"May 24, 2026 5:02 PM",,6a359fbe-a71d-42c2-a818-e159bae6862a,"May 19, 2026",
Dallas (Lakewood),TX,White Rock Alehouse & Brewery,"7331 Gaston Ave, Dallas, TX 75214",Fourth,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-lakewood,,No,32.8136,-96.7301,Live,"May 24, 2026 5:02 PM",,ed9a6264-1605-4ac0-8e56-d99995fcad09,"May 2, 2026",
Forney,TX,Eno's Pizza Tavern,"215 S Bois D Arc St, Forney, TX 75126",Fourth,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-forney,,No,32.7474,-96.4724,Live,"May 24, 2026 5:02 PM",,3d89085f-376f-4fd3-b198-1e277b1e570b,"May 2, 2026",
Irving,TX,Whiskey Cake,"3225 Regent Blvd, Irving, TX 75063",Fourth,8:00 AM - 10:00 AM,Rishabh,https://www.tangocharities.org/feed-the-city-irving,,No,32.9206,-96.9867,Live,"May 24, 2026 5:02 PM",,2eccdf42-0e9c-4c5b-bf4e-281acdfc709a,"May 2, 2026",
Spring,TX,Cotton Patch Cafe,"5431 Farm to Market 2920, Spring, TX 77388",Fourth,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-spring,,No,30.0735511,-95.5055007,Live,"May 24, 2026 5:02 PM",,4e3a8757-d6b9-4efe-b170-8fb577a1940a,"May 2, 2026",
